province,health_area,population,Sinovac,AstraZeneca,Sinopharm,Pfizer,total,result
เชียงราย,1,1172648,369520,528020,222432,249864,1369836,1673079
เชียงใหม่,1,1729353,726862,1227110,440679,621114,3028771,3184407
น่าน,1,477862,155640,211320,20290,100788,488038,597269
พะเยา,1,468292,190320,212500,16767,117984,539573,617037
แพร่,1,441310,209840,177520,38160,90162,515682,507479
แม่ฮ่องสอน,1,245764,115200,101820,11684,52200,281912,273602
ลำปาง,1,731573,292480,255840,135858,147156,836346,945242
ลำพูน,1,417225,156680,146460,156398,82428,545970,639098
ตาก,2,589901,272912,349460,7350,172782,832506,776866
พิษณุโลก,2,1050000,370280,416620,150902,300264,1242070,1167686
เพชรบูรณ์,2,992791,288360,402580,76328,303384,1075664,1151203
สุโขทัย,2,596902,211120,267320,113300,98934,690674,670399
อุตรดิตถ์,2,455259,171080,210080,18934,90990,493086,562655
กำแพงเพชร,3,725873,241080,293880,76146,140394,755112,796478
ชัยนาท,3,335049,123760,163200,72018,60624,421408,399844
นครสวรรค์,3,1059708,468860,429500,194073,162852,1260395,1253745
พิจิตร,3,536012,186160,194440,80868,104982,569152,604306
อุทัยธานี,3,334270,147400,150560,11008,54888,365662,378939
นครนายก,4,271739,146513,144920,32976,57450,382965,315262
นนทบุรี,4,1609192,722241,1069416,226732,498684,2535931,2464104
ปทุมธานี,4,1533781,410424,731020,1226339,263154,2635837,2703801
พระนครศรีอยุธยา,4,921047,252570,394960,442247,273426,1366507,1379255
ลพบุรี,4,760478,260640,260960,159782,156090,840482,857346
สระบุรี,4,720145,218130,255390,369800,139956,985880,1030700
สิงห์บุรี,4,214665,60720,79440,20314,53310,214890,264150
อ่างทอง,4,292159,104920,129740,19512,62028,317502,338845
กาญจนบุรี,5,848454,263254,313420,331168,132462,1045316,1013852
นครปฐม,5,1125350,282660,392020,221434,298908,1195022,1356302
ประจวบคีรีขันธ์,5,578094,212520,282750,173958,102174,782098,820233
เพชรบุรี,5,502827,208480,318280,78536,78276,688584,714009
ราชบุรี,5,918674,373860,358720,172949,162738,1073279,1083332
สมุทรสงคราม,5,204018,82160,82280,41155,38634,245209,232107
สมุทรสาคร,5,953167,442680,683040,406470,142890,1675080,1816815
สุพรรณบุรี,5,850709,317060,323840,95528,214158,957236,970441
จันทบุรี,6,587421,277436,312040,82130,128388,803004,850372
ฉะเชิงเทรา,6,750784,231720,580220,152519,174990,1142459,1276365
ชลบุรี,6,2047622,740300,1149840,1254635,534930,3684717,3961287
ตราด,6,249458,116600,124520,57844,37950,337922,344532
ปราจีนบุรี,6,579651,209218,242020,215794,121302,791344,770379
ระยอง,6,966932,352520,565480,363091,188364,1472465,1547952
สมุทรปราการ,6,1931727,463434,1285170,1106172,355032,3212818,3279704
สระเเก้ว,6,586286,249520,302220,3034,105444,672230,630237
กาฬสินธุ์,7,978299,407120,404880,33532,256236,1116776,1006343
ขอนแก่น,7,1837005,656020,821840,293453,416058,2247375,2231777
มหาสารคาม,7,957365,348520,424580,7372,197112,987594,1007155
ร้อยเอ็ด,7,1307158,525480,595520,60550,336528,1544090,1368415
นครพนม,8,724861,309960,298810,12310,221574,852664,740301
บึงกาฬ,8,425427,176880,176770,4237,99534,467431,416948
เลย,8,640283,309680,363590,25610,151164,862056,771578
สกลนคร,8,1145848,487540,526880,69976,427302,1531704,1163873
หนองคาย,8,519027,226840,340750,14033,97950,684585,576675
หนองบัวลำภู,8,523861,224560,255590,60,112428,612644,492184
อุดรธานี,8,1565740,632280,854740,288806,387492,2178326,1871448
ชัยภูมิ,9,1134867,463520,493620,55870,248592,1281608,1218931
นครราชสีมา,9,2692890,1239310,1034880,365242,634290,3332130,3583138
บุรีรัมย์,9,1587359,745120,1143300,11318,428532,2358272,1992716
สุรินทร์,9,1392583,496480,642780,32060,262266,1459598,1423921
มุกดาหาร,10,351257,130960,232340,13034,135066,526408,417341
ยโสธร,10,535512,198160,244080,3338,140550,611132,576595
ศรีสะเกษ,10,1460182,514680,594820,39182,392208,1590898,1530341
อำนาจเจริญ,10,379995,125640,207300,1049,127152,476149,437777
อุบลราชธานี,10,1880468,719520,838470,130004,413100,2151102,2165745
กระบี่,11,503538,274520,309820,50338,105834,742122,733702
ชุมพร,11,543683,157120,259080,130799,119154,667763,718639
นครศรีธรรมราช,11,1575117,534520,784350,234013,309228,1864113,1986684
พังงา,11,286339,127320,187460,11466,67974,395830,454289
ภูเก็ต,11,547584,810800,288890,1952,83556,1186808,1219555
ระนอง,11,228507,134800,165660,24770,87972,414812,390822
สุราษฎร์ธานี,11,1144090,490200,717460,279799,244350,1733811,1741566
ตรัง,12,659636,217800,220220,230600,210600,896230,975236
นราธิวาส,12,805356,215040,270660,1736,343020,855460,801299
ปัตตานี,12,743054,210720,218120,1842,314916,770602,736314
พัทลุง,12,528207,170720,200560,23858,94710,506858,640881
ยะลา,12,547993,130000,190800,62992,243528,644330,670501
สงขลา,12,1487320,361456,510280,347182,818604,2087530,2338371
สตูล,12,331057,183040,138380,6510,96534,433466,393723
กรุงเทพมหานคร,13,7699175,2953854,10762110,2125307,1689438,17606869,19428669
